eprtr_facility_id,eprtr_facility_name,eprtr_country,eprtr_activity,activity_label,eta,substitutable_TJ,heat_demand_TJ,note,routing_mode
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-162024-100-0042820,MM Neuss GmbH,Germany,6(b),Wood products / panels,1.0,1365.96,971.88,,tech_split
IS.CAED/520303-4210,Alcoa Fjarðaál,Iceland,2(e)(i),Non-ferrous (primary),,,,no LCP data,
CZ.MZP.S206/CZ32569075.FACILITY,"ČEZ, a. s. Elektrárna Mělník, Teplárna Trmice - provoz Mělník",Czechia,1(c),EXCLUDE — power stations,0.0,25476.33,0.0,,tech_split
CH.CAED/000000289.Facility,KEZO Hinwil,Switzerland,5(b),Municipal waste incineration (WtE),,,,no LCP data,
SE.CAED/10022490.Facility,Domsjö Fabriker AB,Sweden,6(a),Pulp & paper,1.0,25.38,21.62,,tech_split
UK.CAED/EW_EA-16635.FACILITY,Melton Ross Lime Works EPR/BL8805IZ,United Kingdom,3(c),Glass,,,,no LCP data,
UK.CAED/BEISOffsh-Leman-49-27-A.FACILITY,Leman 49-27a,United Kingdom,1(c),EXCLUDE — power stations,,,,no LCP data,
DE.EEA/16591.FACILITY,SOLVAY Chemicals GmbH,Germany,4(b)(iv),Basic inorganic chemicals / fertiliser,0.75,2551.1,1362.29,,tech_split
https://registry.gdi-de.org/id/de.sh/10038078,Holcim (Deutschland) GmbH ,Germany,3(c)(i),Glass,,,,no LCP data,
https://registry.gdi-de.org/id/de.th/5bf25e39-19d5-4254-adac-63f1b1cec499/79012857,Erdgasverdichterstation Rückersdorf ,Germany,1(c),EXCLUDE — power stations,0.0,74.09,0.0,,tech_split
http://paikkatiedot.fi/so/1002031/pf/ProductionFacility/0000016028.ProductionFacility,"Kotkan Energia Oy, Hovinsaaren voimalaitos",Finland,1(c),EXCLUDE — power stations,0.0,832.86,0.0,,tech_split
IT.CAED/741231001.FACILITY,ENI S.P.A. CENTRALE TERMOELETTRICA DI TARANTO,Italy,1(c),EXCLUDE — power stations,0.0,3269.13,0.0,,tech_split
ES.CAED/000136000.FACILITY,C.T.C.C. SON REUS,Spain,1(c),EXCLUDE — power stations,0.0,8939.97,0.0,,tech_split
IT.CAED/761212002.FACILITY,CEMENTERIA DI BARLETTA,Italy,3(c),Glass,,,,no LCP data,
SE.CAED/10020389.Facility,Gruvöns bruk,Sweden,6(a),Pulp & paper,,,,no LCP data,
AT.CAED/9008390614785.FACILITY,Zellstoff Pöls Aktiengesellschaft,Austria,6(a),Pulp & paper,1.0,9873.98,8412.63,,tech_split
NO.EEA/0301.0430.01.FACILITY,Fortum Oslo Varme,Norway,5(b),Municipal waste incineration (WtE),,,,no LCP data,
AT.EEA/20000.00106.FACILITY,VERBUND Thermal Power GmbH & Co KG in Liqu.,Austria,1(c),EXCLUDE — power stations,0.0,6279.2,0.0,,tech_split
https://registry.gdi-de.org/id/de.by.inspire.pf.ied/S00015,GSB Sonderabfall-Entsorgung Bayern GmbH - Ebenhausen,Germany,5(a),Hazardous waste disposal,,,,no LCP data,
GB.EEA/EW_EA-672.FACILITY,"Centrica Rps Ltd, Roosecote Power Station",United Kingdom,1(c),EXCLUDE — power stations,0.0,674.0,0.0,,tech_split
https://registry.gdi-de.org/id/de.sn.sax4inspire.pf/60015087,Knauf Insulation GmbH ,Germany,3(f),Other mineral (gypsum etc.),,,,no LCP data,
SE.CAED/10014721.Facility,Kraftvärmeverket i Katrineholm,Sweden,5(b),Municipal waste incineration (WtE),,,,no LCP data,
IT.CAED/341452003.FACILITY,Stabilimento di Trieste,Italy,2(c),"Hot/cold rolling, coating",,,,no LCP data,
IT.CAED/860782001.FACILITY,COLACEM S.P.A.,Italy,3(c),Glass,,,,no LCP data,
UK.CAED/BEISOffsh-Western-Isles-FPSO.FACILITY,Western Isles FPSO,United Kingdom,1(c),EXCLUDE — power stations,,,,no LCP data,
GB.EEA/EW_EA-1179.FACILITY,"Gaz De France Marketing Limited , Deeside Papermill",United Kingdom,1(c),EXCLUDE — power stations,,,,no LCP data,
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-315000-300-0213768,"Shell Deutschland GmbH, Shell Energy and Chemicals Park Rheinland Nord",Germany,1(a),Petroleum refineries,1.0,4388.1,3389.81,,tech_split
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK57104807.NRZ.FACILITY,"eustream, a.s. - Kompresorová stanica č. 1",Slovakia,1(c),EXCLUDE — power stations,0.0,6.11,0.0,,tech_split
ES.CAED/004894000.FACILITY,BASF SONATRACH PROPANCHEM,Spain,4(a)(i),Basic organic chemicals / olefins,1.0,832.85,607.98,,tech_split
SE.CAED/10015586.Facility,"Kraftvärmeverket Torsvik, KVVT1 (avfall) och KVVT2 (flis)",Sweden,5(b),Municipal waste incineration (WtE),,,,no LCP data,
PL.MŚ/000000551.FACILITY,CMC Poland Sp. z o.o.,Poland,2(b),Iron & Steel (BF/BOF),,,,no LCP data,
ES.CAED/001480000.FACILITY,REFINERÍA DE TENERIFE Y COTESA,Spain,1(a),Petroleum refineries,,,,no LCP data,
SE.CAED/10023763.Facility,Dåva kraftvärmeverk,Sweden,1(c),EXCLUDE — power stations,0.0,15.98,0.0,,tech_split
PL.MŚ/000004782.FACILITY,LGESWA,Poland,9(c),Tanning / other,,,,no LCP data,
IE.CAED/P0483.FACILITY,Huntstown Power Company Limited,Ireland,1(c),EXCLUDE — power stations,0.0,25446.26,0.0,,tech_split
CZ.MZP.B643/CZ23625775.FACILITY,závod Mokrá,Czechia,3(c)(i),Glass,,,,no LCP data,
NO.EEA/0101.0031.01.FACILITY,Norske Skog Saugbrugs,Norway,6(a),Pulp & paper,,,,no LCP data,
DK.CAED/000112739.FACILITY,Crossbridge Energy Fredericia A/S,Denmark,1(a),Petroleum refineries,1.0,578.0,446.51,,tech_split
SE.CAED/10022449.Facility,Mondi Dynäs AB,Sweden,6(a),Pulp & paper,,,,no LCP data,
SE.CAED/10022364.Facility,"Sundsvall Energi AB, Korstaverk",Sweden,1(c),EXCLUDE — power stations,0.0,27.0,0.0,,tech_split
