source_id,source_name,latitude,longitude,pvgis_year,annual_kwh_per_kwp,annual_cf,hourly_file,error
FR.CAED/7626.FACILITY,LYONDELL CHIMIE FRANCE,43.42011,4.8602,2023,1924.66,0.21971,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_7626.FACILITY.csv,
EL.CAED/100053.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. - INDUSTRIAL DIVISION OF ASPROPYRGOS,38.03236,23.60276,2023,1813.81,0.207056,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/EL.CAED_100053.FACILITY.csv,
EL.CAED/100062.FACILITY,HELLENIC PETROLEUM R.S.S.O.P.P. S.A. - THESSALONIKI INDUSTRIAL COMPLEX,40.67952,22.87819,2023,1646.18,0.18792,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/EL.CAED_100062.FACILITY.csv,
FR.CAED/3829.FACILITY,YARA FRANCE,49.50521,0.20993,2023,1369.04,0.156283,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_3829.FACILITY.csv,
IT.CAED/030402001.FACILITY,Unità Locale 3 - Impianto di Termovalorizzazione rifiuti non pericolosi.,41.4375,13.8971,2023,1663.5,0.189897,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_030402001.FACILITY.csv,
PL.MŚ/000000072.FACILITY,International Paper - Kwidzyn Sp. z o.o.,53.6997413635254,18.9216861724854,2023,1176.06,0.134254,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000072.FACILITY.csv,
IT.CAED/570162008.FACILITY,SOLVAY CHIMICA ITALIA S.P.A. ROSIGNANO,43.4089,10.4739,2023,1715.97,0.195887,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_570162008.FACILITY.csv,
FR.CAED/9481.FACILITY,ALSACHIMIE,47.8265,7.54591,2023,1368.23,0.156191,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_9481.FACILITY.csv,
FR.CAED/9469.FACILITY,BUTACHIMIE,47.81907,7.53852,2023,1368.2,0.156187,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_9469.FACILITY.csv,
IT.CAED/960101007.FACILITY,Versalis S.p.A.,37.167,15.1973,2023,1868.94,0.213349,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_960101007.FACILITY.csv,
IT.CAED/240442002.FACILITY,Tenaris Dalmine - Stabilimento di Dalmine,45.6425,9.5969,2023,1596.36,0.182233,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_240442002.FACILITY.csv,
PL.MŚ/000000023.FACILITY,LOTOS ASfalt Sp. z o.o.,54.3499298095703,18.7296676635742,2023,1247.84,0.142447,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000023.FACILITY.csv,
FR.CAED/6088.FACILITY,ARKEMA FRANCE,49.1401,6.70733,2023,1299.65,0.148362,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_6088.FACILITY.csv,
FR.CAED/7874.FACILITY,PETROINEOS MANUFACTURING FRANCE SAS,43.38403,5.02829,2023,1942.81,0.221782,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_7874.FACILITY.csv,
FR.CAED/8363.FACILITY,ENORIS,48.71938,2.27887,2023,1318.4,0.150503,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_8363.FACILITY.csv,
IT.CAED/051002003.FACILITY,ACEA AMBIENTE Srl UL1_Impianto di Termovalorizzazione,42.5806,12.6615,2023,1660.33,0.189535,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_051002003.FACILITY.csv,
FR.CAED/9451.FACILITY,LAT NITROGEN OTTMARSHEIM,47.79004,7.51929,2023,1366.85,0.156033,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_9451.FACILITY.csv,
PL.MŚ/000000021.FACILITY,KOKSOWNIA RADLIN,50.0377769470215,18.4866676330566,2023,1216.95,0.138921,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000021.FACILITY.csv,
PL.MŚ/000000309.FACILITY,SAINT-GOBAIN INNOVATIVE MATERIALS POLSKA SPÓŁKA Z O.O. ODDZIAŁ GLASS,50.3058013916016,19.3013935089111,2023,1224.19,0.139748,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/PL.MŚ_000000309.FACILITY.csv,
IT.CAED/960111001.FACILITY,Sonatrach Raffineria Italiana-Raffineria di Augusta,37.2216,15.1905,2023,1863.67,0.212748,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/IT.CAED_960111001.FACILITY.csv,
FR.CAED/3572.FACILITY,CRISTAL UNION,48.53275,4.11393,2023,1311.75,0.149743,/Users/annayuen/Desktop/IECC/industrial_decarb/LCOH_EU_workflow/off_grid_electricity_run/outputs/pvgis_hourly/FR.CAED_3572.FACILITY.csv,
