eprtr_facility_id,facility_name,country,iso3,analysis_year_grid,eprtr_activity_grid,temp_band,heat_MWh,match_method,least_cost_pathway_grid,least_cost_pathway_off,lcoh_gas_grid,lcoh_hb_grid,lcoh_hb_off,hb_savings_vs_grid_gas_EUR_MWhth,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_ratio_grid_to_offhb,gas_EUR_MWh,bnef_data_source,lat,lon
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK47025613.NRZ.FACILITY,"Slovalco, a.s.",Slovakia,SVK,2022,2(e)(i),high,43243.98,spatial_nearest,natural_gas,heat_battery,103.786,257.097,44.744,59.042,229.45,38.332,5.985860377752269,76.188,proxied,48.564183,18.846948
https://data.gov.sk/set/data/so/b4d884b3-4442-43db-a19c-ceb6e127960f/SK37021405.NRZ.FACILITY,Duslo a.s.,Slovakia,SVK,2022,4(c),mid,295113.37,spatial_nearest,natural_gas,heat_battery,103.786,257.097,44.744,59.042,229.45,38.332,5.985860377752269,76.188,proxied,48.181531,17.937156
FR.CAED/653.FACILITY,SIMOREP ET CIE,France,FRA,2022,4(a)(ix),mid,245290.55,id_direct,natural_gas,heat_battery,102.183,143.264,45.593,56.59,127.0,39.096,3.2484141600163703,74.745,bnef,44.91249,-0.52135
FR.CAED/7560.FACILITY,ARKEMA FRANCE,France,FRA,2022,4(a)(iv),mid,393539.46,id_direct,natural_gas,heat_battery,102.183,143.264,45.593,56.59,127.0,39.096,3.2484141600163703,74.745,bnef,43.2833,5.49868
FR.CAED/5506.FACILITY,LA ROCHETTE CARTONBOARD SAS,France,FRA,2022,6(b),high,24547.67,id_direct,natural_gas,heat_battery,102.183,143.264,45.593,56.59,127.0,39.096,3.2484141600163703,74.745,bnef,45.4537,6.1185
NL.RIVM/000010063.FACILITY,AVR-Afvalverwerking,Netherlands,NLD,2024,5(b),high,407671.52,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,51.89704,4.27639
NL.RIVM/000012175.FACILITY,Air Liquide Industrie BV,Netherlands,NLD,2024,4(b)(i),mid,501464.61,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,51.88525,4.25626
NL.RIVM/000075305.FACILITY,locatie Boeldershoek,Netherlands,NLD,2024,5(b),high,1040.32,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,52.23427,6.78419
NL.RIVM/000000062.FACILITY,Chemelot Site Permit BV,Netherlands,NLD,2024,4(a)(i),mid,3517489.88,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,50.98059,5.79632
NL.RIVM/000204944.FACILITY,Eneco Bio Golden Raand C.V.,Netherlands,NLD,2024,5(c),high,1688.64,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,53.31022,6.98393
NL.RIVM/000203220.FACILITY,EEW Energy from Waste Delfzijl B.V.,Netherlands,NLD,2024,5(b),high,1688.64,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,53.30972,6.98765
NL.RIVM/000010689.FACILITY,Air Products Nederland BV (Botlek),Netherlands,NLD,2024,4(b)(i),mid,463534.07,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,51.87894,4.25934
NL.RIVM/000115036.FACILITY,LyondellBasell Covestro Manufacturing Maasvlakte VOF,Netherlands,NLD,2024,4(a)(ii),mid,192637.31,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,51.96786,4.01932
NL.RIVM/000010057.FACILITY,Shell Nederland Raffinaderij BV,Netherlands,NLD,2024,1(a),mid,2575231.18,spatial_nearest,natural_gas,heat_battery,100.222,235.375,44.744,55.477999999999994,209.9,38.332,5.4758426380048,77.02,proxied,51.88013,4.33533
