eprtr_facility_id,facility_name,country,iso3,analysis_year,temp_band,heat_MWh,least_cost_pathway_grid,least_cost_pathway_off,pathway_flip,lcoh_winner_grid,lcoh_winner_off,delta_winner_lcoh,lcoh_gas_grid,lcoh_gas_off,lcoh_hb_grid,lcoh_hb_off,lcoh_hp_grid,lcoh_hp_off,elec_grid_EUR_MWh,elec_off_hb_EUR_MWh,elec_off_hp_EUR_MWh,gas_EUR_MWh
https://registry.gdi-de.org/id/de.ni.mu/09000237910,Onyx Kraftwerk Wilhelmshaven GmbH & Co. KG,Germany,DEU,2023,mid,3932786.22,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-366044-300-0079450,Smurfit Westrock Zülpich Paper GmbH,Germany,DEU,2023,high,379667.22,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
https://registry.gdi-de.org/id/de.nw.inspire.pf.bube-eureg/arb-2017-112000-100-0077961,Hüttenwerke Krupp Mannesmann GmbH,Germany,DEU,2023,high,449933.06,natural_gas,heat_battery,natural_gas → heat_battery,115.596,47.885,-67.71100000000001,115.596,115.596,244.764,47.885,,,218.35,41.159,143.427,86.009
CZ.MZP.C311/CZ65747796.FACILITY,Teplárna České Budějovice-Novohradská ulice,Czechia,CZE,2022,mid,928198.09,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.T802/CZ29145586.FACILITY,Provozovna Třinec,Czechia,CZE,2022,high,1456667.79,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.S206/CZ41646031.FACILITY,Rafinérie Kralupy nad Vltavou,Czechia,CZE,2022,mid,1786035.63,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.T803/CZ26269297.FACILITY,Elektrárna Dětmarovice,Czechia,CZE,2022,mid,3574247.21,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.Z724/CZ14837619.FACILITY,Teplárna Otrokovice,Czechia,CZE,2022,mid,953167.31,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.K413/CZ88718507.FACILITY,Elektrárna Tisová,Czechia,CZE,2022,mid,1787633.01,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
CZ.MZP.E532/CZ90841608.FACILITY,Elektrárna Chvaletice,Czechia,CZE,2022,mid,10093822.89,natural_gas,heat_battery,natural_gas → heat_battery,111.739,44.744,-66.995,111.739,111.739,191.764,44.744,,,170.65,38.332,139.78,83.346
